"NomenCode","Reporter_ISO_N","ReporterName","ProductCode","Partner","PartnerName","Year","AdValorem","MeasureCode","MeasureName","NonAdValorem","Affected"
"H1","840","United States","02063000","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02064100","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02064900","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02068000","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02069000","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02071100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02071200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02071300","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02071400","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02072400","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02072520","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02072540","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02072600","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02072700","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02073200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02073300","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02073400","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02073500","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02073600","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02081000","N21","",1999,20,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02082000","N21","",1999,10,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02089020","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.132/KG",
"H1","840","United States","02089030","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.22/KG",
"H1","840","United States","02089040","N21","",1999,20,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02090000","N21","",1999,20,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
